Mes pago tarjeta;Fecha gasto;descripcion;importe;Tarjeta;Cuota;Con cuota;cantidad cuotas;Cierra;Vence;¿ Vencido ?;Agrupado;actual y proximo;Cuota Finalizada;tipo
44409;44399;VETERINARIA;-2670;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44378;44396;DÓLAR;-30000;INVERSION;1;No;1;44378;44378;Vencido;INVERSION;No;VERDADERO;REAL
44378;44400;FUTBOL;-500;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44400;EMPANADAS;-1150;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44401;SALIDA AMIGOS;-2114;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44404;VERDULERIA;-1430;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44409;44404;QUESERIA DE MI;-1128;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44378;44407;JABON LIQUIDO;-650;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44407;PELUQUERIA;-1200;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44408;ESTUDIOS TOBY;-1300;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44408;REGALOS THEO Y ALEX;-1750;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44408;REGALOS PAPA Y MAMA;-1400;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44408;MEDIALUNAS;-480;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44407;FUTBOL;-250;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44409;44407;MANTA TOBY;-1116,68;VISA SANTANDER;1;Si;3;44413;44421;Vencido;GASTO;No;FALSO;REAL
44409;44407;MANTA TOBY;-1116,68;VISA SANTANDER;2;Si;3;44413;44421;Vencido;GASTO;No;FALSO;REAL
44409;44407;MANTA TOBY;-1116,68;VISA SANTANDER;3;Si;3;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44405;DIA;-2358,24;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44413;TOBY;-11790;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44410;POLLERIA;-2178;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44410;CARNICERIA;-687;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44410;VERDULERIA;-1142;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44440;44415;DIA;-626;VISA SANTANDER;1;No;1;44448;44459;Vencido;GASTO;No;VERDADERO;REAL
44409;44415;QUESERIA DE MI;-210;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44415;MEDALLONES;-2150;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44413;DULCE HORA;-470;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44413;BAZAR CHINO;-2250;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44413;REGALO DELFI;-1000;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44414;DIA;-975,85;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44413;SUPERMERCADO CHINO;-455;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44417;DIETETICA;-340;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44417;SUPERMERCADO CHINO;-385;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44419;LAVANDERIA;-1350;GASTOS NO CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44409;44417;VERDULERIA;-990;GASTOS CORRIENTES;1;No;1;44409;44409;Vencido;GASTO;No;VERDADERO;REAL
44501;44470;PERSONAL;-1413;PERSONAL;1;Si;1;44470;44470;Vencido;GASTO;No;VERDADERO;REAL
44531;44470;PERSONAL;-1069,07;PERSONAL;1;Si;1;44470;44470;Vencido;GASTO;No;VERDADERO;REAL
44562;44562;SUELDO;166585,86;INGRESO;1;No;1;44562;44562;Vencido;INGRESO;No;VERDADERO;REAL
44593;44593;SUELDO;231296,68;INGRESO;1;No;1;44593;44593;Vencido;INGRESO;No;VERDADERO;REAL
